Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Pro,Network,Written,7/29/2008,INTENT TO PARITICIPATE IN ORAL ARGUMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515184196,Free Press,Refer to Attachment(s).,27,https://www.fcc.gov/ecfs/document/5515184196/1,,"July 28, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,Information Society Project at Yale Law School,"Charles Nesson, Harvard Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,
Anti,Network,Comments,6/14/2007,NOTICE OF INQUIRY,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514679813,"Derek Hunter, Americans for Tax Reform",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514679813/1,,6/14/2007,Americans for Tax Reform,Media Freedom Project,Property Rights Alliance,American Shareholder’s Association,,,,,,,,,,,,,,
Anti,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681171,The Nebraska Rural Independent Companies,Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/5514681171/1,Nebraska Rural Independent Companies,6/15/2007,Arlington Telephone Company,Blair Telephone Company,Cambridge Telephone Company,Clarks Telecommunications,Consolidated Telco,Consolidated Telcom,Consolidated Telephone Company,Curtis Telephone Company,Eastern Nebraska Telephone Company,Great Plains Communications,Hartington Telecommunications Co.,Hershey Cooperative Telephone Co.,K. & M. Telephone Company,Nebraska Central Telephone Company,Northeast Nebraska Telephone Company,Rock County Telephone Company,Stanton Telecom Inc.,Three River Telco
Anti,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681140,"Wayne Brough, Arthur A. Fleisher",Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5514681140/1,,6/15/2007,FreedomWorks,"Arthur A. Fleisher III, Metropolitan State College of Denver",,,,,,,,,,,,,,,,
Anti,Network,Comments,6/14/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680148,Internet Freedom Coalition,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680148/1,,,Internet Freedom Coalition,Americans for Prosperity,Institute for Liberty,Institute for Policy Innovation,Media Freedom Project,Ethan Allen Institute,Americans for Tax Reform,Pullins Report,Public Interest Institute,Grassroot Institute of Hawaii,National Taxpayers Union,,,,,,,
Anti,Network,Comments,6/7/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514673142,Steven Titch,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5514673142/1,,6/7/2007,Steven Titch,Heartland Institute,Reason Foundation,,,,,,,,,,,,,,,
Anti,Network,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992183,Steven Titch,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992183/1,,2/13/2008,Steven Titch,Reason Foundation,,,,,,,,,,,,,,,,
Anti,Network,Document,2/21/2008,MOTION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993507,The Progress & Freedom Foundation,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514993507/1,,"February 21, 2008",Progress & Freedom Foundation,Institute for Policy Innovation,U.S. Chamber of Commerce,,,,,,,,,,,,,,,
Anti,Network,In person,2/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994226,AT&T,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514994226/1,,"February 25, 2008",AT&T,Verizon,,,,,,,,,,,,,,,,
Anti,Network,In person,7/18/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183140,Comcast Corporation,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183140/1,,"July 18, 2008",Comcast,National Cable & Telecommunications Association,,,,,,,,,,,,,,,,
Anti,Network,In person,7/13/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514707709,"Criterion Economics, L.L.C.",Refer to Attachment(s).,62,https://www.fcc.gov/ecfs/document/5514707709/1,,7/12/2007,Criterion Economics,"Gerald Faulhaber, Wharton School, UPenn",,,,,,,,,,,,,,,,
